id,category,label,risk_level,text_bn,red_flags_bn,is_synthetic,pattern_basis
scam_011,Lottery / prize scam,scam,high,"Rocket থেকে ক্যাশব্যাক অফার - আপনি ১০,০০০ টাকা ক্যাশব্যাক পেয়েছেন, রিডিম করতে এই কোড পাঠান।","অতিরিক্ত ভালো অফার, রিডিম কোড চাওয়া",TRUE,Cashback-lure smishing pattern
scam_012,Lottery / prize scam,scam,high,আপনি Grameenphone-Nagad যুগ্ম লটারিতে বিজয়ী হয়েছেন। টাকা পাঠাতে আমাদের এজেন্টকে সামান্য ভ্যাট বাবদ ৫০০ টাকা পাঠান।,"দুই ব্র্যান্ড একসাথে ভাঁড়িয়ে বিশ্বাসযোগ্যতা তৈরি, ভ্যাট/ফি অগ্রিম চাওয়া",TRUE,"Advance-fee lottery-fraud pattern, cross-brand impersonation"
scam_013,Lottery / prize scam,scam,high,"শুভেচ্ছা! র‍্যান্ডম ড্র-এ আপনি স্মার্টফোন জিতেছেন, ডেলিভারির জন্য ২০০ টাকা কুরিয়ার ফি bKash-এ সেন্ড করুন।",উপহার ডেলিভারির অজুহাতে ছোট অগ্রিম ফি,TRUE,Small-advance-fee trust-building pattern noted in research doc
scam_014,Lottery / prize scam,scam,high,আপনার নম্বরে ৩ লাখ টাকার Hajj লটারি লেগেছে। ক্লেইম করতে NID ও bKash পিন পাঠান দ্রুত।,"ধর্মীয়/সংবেদনশীল প্রসঙ্গ ব্যবহার, NID+পিন একসাথে চাওয়া",TRUE,High-value emotionally-targeted lottery scam pattern
scam_015,Send-money reversal scam,scam,medium,"ভাই দুঃখিত, ভুল করে আপনার নাম্বারে ৫,০০০ টাকা চলে গেছে। প্লিজ এই নাম্বারে ফেরত দিয়ে দিন, আমার খুব প্রয়োজন।","ভুল ট্রান্সফারের দাবি, দ্রুত ফেরত চাওয়ার জরুরি সুর",TRUE,Send-money-reversal scam described in research doc (accidental-transfer pretext)
scam_016,Send-money reversal scam,scam,medium,"আপা আমি ভুলে সেন্ড মানি করে দিয়েছি অন্য নাম্বারের জায়গায় আপনার নাম্বারে, দয়া করে ৩,২০০ টাকা ফেরত পাঠান।","সহানুভূতি আদায়, নির্দিষ্ট ছোট অংক ফেরত চাওয়া",TRUE,Same reversal-scam family
scam_017,Send-money reversal scam,scam,medium,"আমার একাউন্ট থেকে সিস্টেম এরর হয়ে আপনার নাম্বারে টাকা চলে গেছে, আমি bKash-কে রিপোর্ট করব, তার আগে ফেরত দেন।",প্রতিষ্ঠানকে রিপোর্টের হুমকি দিয়ে চাপ তৈরি,TRUE,Reversal-scam variant with authority-escalation threat
scam_018,Send-money reversal scam,scam,medium,"স্যরি ভাইয়া মিস্টেক হয়ে গেছে, ১,৫০০ টাকা আপনার একাউন্টে চলে গেছে, এই bKash নম্বরে ফেরত পাঠিয়ে দিবেন।","ছোট অংক, ঘনিষ্ঠ সম্বোধন দিয়ে বিশ্বাস তৈরি",TRUE,Reversal-scam variant
scam_019,Send-money reversal scam,scam,medium,"আমি নতুন এজেন্ট, একটু আগে ক্যাশ আউট করতে গিয়ে আপনার নাম্বারে ভুলে টাকা চলে গেছে, ফেরত চাই জলদি।","এজেন্ট পরিচয় দিয়ে বিশ্বাসযোগ্যতা, তাড়া দেওয়া",TRUE,Agent-impersonation + reversal-scam combination
scam_020,Send-money reversal scam,scam,medium,"হ্যালো, আপনার নাম্বারে যে টাকা এসেছে সেটা আসলে আমার কাস্টমারের জন্য ছিল, ভুল নাম্বারে চলে গেছে, ফেরত দিন।",তৃতীয় পক্ষের কথা বলে জটিল গল্প তৈরি করা,TRUE,Reversal-scam variant
scam_021,Fake app / phishing link,scam,high,"নতুন bKash অ্যাপ আপডেট এসেছে, এখনই ডাউনলোড করুন নাহলে পুরনো অ্যাপ কাজ করবে না: bkash-update.example","অফিসিয়াল ডোমেইন না, আপডেট না করলে অ্যাপ বন্ধের হুমকি",TRUE,Fake-app impersonation pattern from global/BD research (clone-app phishing)
scam_022,Fake app / phishing link,scam,high,"Nagad সিকিউরিটি প্যাচ রিলিজ হয়েছে, এই লিংক থেকে ইনস্টল করুন এবং লগইন করে ভেরিফাই করুন: nagad-verify.example","সিকিউরিটি প্যাচ অজুহাত, বাহ্যিক লিংকে লগইন করানো",TRUE,Fake-security-patch phishing-link pattern
scam_023,Fake app / phishing link,scam,high,আপনার Rocket অ্যাকাউন্ট সাসপেন্ড এড়াতে এই অফিসিয়াল ফর্ম পূরণ করুন: forms-mfs-bd.example/verify,"সাসপেনশন-এড়ানোর হুমকি, ভুয়া 'অফিসিয়াল ফর্ম'",TRUE,Form-based credential-harvesting pattern
scam_024,Fake app / phishing link,scam,high,bKash থেকে রিওয়ার্ড ক্লেইম করতে ক্লিক করুন এবং আপনার লগইন ইনফো দিয়ে কনফার্ম করুন: bkashrewards.example,"রিওয়ার্ডের লোভ, লগইন ইনফো চাওয়া",TRUE,Reward-claim phishing-link pattern
scam_025,Fake app / phishing link,scam,high,আপনার হিসাব লক হওয়া থেকে বাঁচতে এই WhatsApp লিংকে গিয়ে অফিসিয়াল এজেন্টের সাথে চ্যাট করুন এবং পিন শেয়ার করুন।,"থার্ড-পার্টি প্ল্যাটফর্মে সরানো, সরাসরি পিন শেয়ার করতে বলা",TRUE,Cross-platform (WhatsApp) redirection phishing pattern
scam_026,Fake app / phishing link,scam,high,সরকারি প্রণোদনা ভাতা bKash-এ পেতে এই লিংকে NID এবং bKash পিন এন্ট্রি করুন: bd-grant-fund.example,"সরকারি ভাতার নাম ভাঁড়িয়ে বিশ্বাসযোগ্যতা তৈরি, NID+পিন দুটোই চাওয়া",TRUE,Government-benefit-themed phishing pattern
scam_027,SIM-swap impersonation,scam,high,"আপনার সিম পুনঃনিবন্ধনের জন্য আজকের মধ্যে NID নম্বর এবং জন্মতারিখ পাঠান, অন্যথায় সংযোগ বন্ধ হয়ে যাবে।","রেগুলেটরি অজুহাত, ডেডলাইনের চাপ, ব্যক্তিগত তথ্য চাওয়া",TRUE,SIM-swap/identity-fraud pattern noted in research doc
scam_028,SIM-swap impersonation,scam,high,"অপারেটর নোটিস: BTRC নির্দেশনায় আপনার সিম পুনরায় ভেরিফাই আবশ্যক, এই নম্বরে NID পাঠান আজই।",রেগুলেটরি সংস্থার নাম ভাঁড়িয়ে বিশ্বাসযোগ্যতা তৈরি,TRUE,Regulator-impersonation SIM-verification pattern
scam_029,SIM-swap impersonation,scam,high,"আপনার নাম্বার ডুপ্লিকেট রেজিস্ট্রেশনের কারণে বন্ধ হবে, বন্ধ ঠেকাতে এই নাম্বারে NID কার্ডের ছবি পাঠান।","ডুপ্লিকেট-রেজিস্ট্রেশন অজুহাত, NID ছবি চাওয়া",TRUE,Identity-document-harvesting pattern
scam_030,SIM-swap impersonation,scam,high,"সিম কার্ড রিপ্লেসমেন্ট রিকোয়েস্ট পাওয়া গেছে আপনার নম্বরে, এটা আপনি না করলে এখনই কনফার্মেশন কোড রিপ্লাই করুন।",রিপ্লেসমেন্ট রিকোয়েস্টের ভুয়া দাবি করে কোড আদায়,TRUE,Direct SIM-swap-attempt pattern
scam_031,Advance-fee fraud (parcel/customs),scam,high,"আপনার নামে একটি পার্সেল কাস্টমসে আটকা আছে, ছাড়াতে ৮০০ টাকা bKash-এ পাঠান এই নম্বরে আজই।","অপ্রত্যাশিত পার্সেল দাবি, ছোট অগ্রিম ফি",TRUE,Global customs/parcel advance-fee-fraud pattern adapted to BD MFS
scam_032,Advance-fee fraud (job offer),scam,high,"চাকরির জন্য সিলেক্ট হয়েছেন! জয়েনিং প্রসেসিং ফি ১,৫০০ টাকা bKash-এ পাঠিয়ে কনফার্ম করুন।","চাকরির লোভ, জয়েনিং ফি আগে দাবি করা (বৈধ নিয়োগে এটা হয় না)",TRUE,Advance-fee job-scam pattern
scam_033,Advance-fee fraud (freelance payment),scam,high,"আপনার ফ্রিল্যান্স পেমেন্ট বিদেশ থেকে হোল্ড হয়ে আছে, রিলিজ করতে ট্যাক্স ফি ৯০০ টাকা পাঠান এই নম্বরে।","বিদেশি পেমেন্টের লোভ, ট্যাক্স/রিলিজ ফি দাবি",TRUE,Advance-fee freelance-payment-scam pattern
scam_034,Advance-fee fraud (remittance),scam,high,"বিদেশ থেকে আপনার আত্মীয় রেমিটেন্স পাঠিয়েছেন, ছাড় করাতে ভেরিফিকেশন চার্জ ৭০০ টাকা bKash এ পাঠান।",প্রবাসী-আত্মীয়ের নাম ভাঁড়িয়ে ইমোশনাল চাপ তৈরি,TRUE,Remittance-themed advance-fee-fraud pattern
legit_035,Genuine transaction alert,legit,none,"আপনি ৫০০ টাকা ক্যাশ ইন করেছেন। এজেন্ট: শাহআলম স্টোর। ব্যালেন্স: ২,৩৫০ টাকা। bKash সাহায্যের জন্য ১৬২৪৭।","কোনো লিংক/অ্যাকশন দাবি নেই, শুধু তথ্য",TRUE,Standard MFS cash-in confirmation format
legit_036,Genuine transaction alert,legit,none,"আপনি নাসির মিয়াকে ১,০০০ টাকা সেন্ড মানি করেছেন। ব্যালেন্স ৮৫০ টাকা। রেফারেন্স: TXN882931।","স্বাভাবিক ট্রানজেকশন রেফারেন্স, কোনো urgency নেই",TRUE,Standard MFS send-money confirmation format
legit_037,Genuine transaction alert,legit,none,"আপনার Nagad বিল পে সফল হয়েছে, DESCO বিদ্যুৎ বিল ১,২৪০ টাকা পরিশোধিত। ধন্যবাদ।",রুটিন বিল-পে কনফার্মেশন,TRUE,Standard MFS bill-pay confirmation format
legit_038,Genuine transaction alert,legit,none,"আপনার Rocket হিসাবে বেতন জমা হয়েছে ১৮,০০০ টাকা। প্রেরক: XYZ Garments Ltd। ব্যালেন্স: ১৯,৪০০ টাকা।","নিয়োগকর্তার নাম উল্লেখ, স্বাভাবিক স্যালারি-ডিপোজিট বিবরণ",TRUE,Standard MFS salary-deposit format
legit_039,Genuine transaction alert,legit,none,মোবাইল রিচার্জ সফল: গ্রামীণফোন ১০০ টাকা। বর্তমান ব্যালেন্স ৪৫০ টাকা। bKash-ধন্যবাদ।,ছোট রুটিন রিচার্জ কনফার্মেশন,TRUE,Standard MFS mobile-recharge confirmation
legit_040,Genuine transaction alert,legit,none,"আপনার bKash হিসাব থেকে ক্যাশ আউট সফল হয়েছে ২,০০০ টাকা, এজেন্ট চার্জ ৩৭ টাকা কর্তন। কোনো সমস্যায় ১৬২৪৭ কল করুন।","স্বাভাবিক চার্জ উল্লেখ, অফিসিয়াল হেল্পলাইন নম্বর",TRUE,Standard MFS cash-out confirmation with real helpline pattern
legit_041,Genuine transaction alert,legit,none,"সেভিংস স্কিমে এই মাসের কিস্তি ৫০০ টাকা কর্তন সম্পন্ন হয়েছে। বর্তমান জমা: ৩,৫০০ টাকা।",রুটিন সেভিংস কিস্তি বিবরণ,TRUE,Standard MFS savings-installment confirmation
legit_042,Genuine transaction alert,legit,none,"আপনার Nagad থেকে ইলেকট্রিসিটি প্রিপেইড টোকেন কেনা সম্পন্ন হয়েছে, টোকেন নম্বর SMS-এ পাঠানো হয়েছে।",রুটিন প্রিপেইড টোকেন কনফার্মেশন,TRUE,Standard MFS prepaid-token confirmation
legit_043,Genuine promotional (legit but often flagged),legit,low,"bKash-এ এই ঈদে পাঠাও রাইডে ২০% ক্যাশব্যাক, সর্বোচ্চ ৫০ টাকা। কোড: EIDRIDE। শর্ত প্রযোজ্য।",প্রকৃত অফার তবে 'ক্যাশব্যাক/কোড' শব্দ scam-এর মতো শোনাতে পারে,TRUE,"Real MFS-merchant promotional-offer format, included as a hard-negative example"
legit_044,Genuine promotional (legit but often flagged),legit,low,"Nagad পে করুন Daraz-এ, পাবেন ১০% ইনস্ট্যান্ট ডিসকাউন্ট। অফার চলবে ৩১ জুলাই পর্যন্ত। বিস্তারিত অ্যাপে।",প্রকৃত ই-কমার্স পার্টনারশিপ অফার,TRUE,Real merchant-partnership promotional format
legit_045,Genuine promotional (legit but often flagged),legit,low,"Rocket গ্রাহকদের জন্য বিশেষ অফার - এই মাসে ৫টি বিল পে করলে পাবেন ৫০ টাকা বোনাস, শর্ত প্রযোজ্য।",শর্তসাপেক্ষ প্রকৃত বোনাস অফার,TRUE,Real conditional-bonus promotional format
legit_046,Genuine promotional (legit but often flagged),legit,low,"গ্রামীণফোন থেকে বিশেষ ইন্টারনেট বান্ডেল অফার: ১০ জিবি ৯৯ টাকায়, ডায়াল *121#।",অফিসিয়াল USSD কোড ব্যবহার (scam-এ সাধারণত থাকে না),TRUE,Real telecom data-bundle promotional format
legit_047,Genuine promotional (legit but often flagged),legit,low,"bKash সেভিংসে নতুন স্কিম যুক্ত হয়েছে, বার্ষিক মুনাফা হার সহ বিস্তারিত জানতে অ্যাপ চেক করুন।",অ্যাপের মধ্যেই বিস্তারিত দেখতে বলা (বাহ্যিক লিংক না),TRUE,Real in-app-referral promotional format
legit_048,Genuine promotional (legit but often flagged),legit,low,"Nagad ইসলামিক হিসাব খুলুন এবং প্রথম মাসে পাবেন ২৫ টাকা বোনাস, শর্ত প্রযোজ্য, বিস্তারিত অ্যাপে।",প্রকৃত প্রোডাক্ট-লঞ্চ প্রোমো,TRUE,Real product-launch promotional format
legit_049,Genuine security notice,legit,none,"আপনার bKash পিন ৩ বার ভুল দেওয়ায় সাময়িকভাবে লক হয়েছে, ৩০ মিনিট পর আবার চেষ্টা করুন বা ১৬২৪৭ কল করুন।","এটি প্রকৃত সিস্টেম-জেনারেটেড সতর্কতা, কোনো তথ্য চাওয়া হয়নি",TRUE,"Real automated security-lock notice, good hard-negative for 'urgent tone' false positives"
legit_050,Genuine KYC confirmation,legit,none,"প্রিয় গ্রাহক, আপনার KYC তথ্য সফলভাবে আপডেট হয়েছে bKash অ্যাপের মাধ্যমে। ধন্যবাদ।","সফল-সমাপ্তি নোটিফিকেশন, কোনো অ্যাকশন চাওয়া হয়নি",TRUE,Real KYC-completion confirmation format
